Case	IGF2BP2	CDKN2C	HOXA9	ZNF521	CLTCL1	MYB	FLT3	HIP1	ALDH2	IDH1	GAS7	CSF1R	NOTCH2	CIITA	AFF3	GATA2	SLC45A3	PRF1	JAK3	GATA3	CBFA2T3	MYCN	MSI2	KIT	ERG	CDK6	ZBTB16	WT1	CCND2	ARHGAP5	MYC	CEBPA	SOCS1	SRC	SMAD3	CSF3R	FGFR1	CDKN2A	CD74	BCL3	HMGA1	MN1	SDC4	NAB2	BCL6	HIF1A	LMNA	SIRPA	CDKN1A	KLF4	MAFB	SGK1	CXCR4	PER1	DDIT3	JUN	KLF6	U2AF1	ETV5	ASPM	PIM1	TFRC	ARHGEF12	ANK1	TAL1	TENT5C	JAZF1	ITGAV	MPL	MLLT3	ID3	DNAJB1	PAX5	CD79A	CD79B	IRF4	PRDM1	NR4A3	ZNF331	FOXO1	LCK	RHOH	CCR7	BIRC3	IL6ST	ZEB1	PLCG1	ATM	CARD11	IKZF3	BCL11B	LEF1	IL7R	ITK	CD28	BTG2	CHD2	BTG1	TNFAIP3	NFKB2
TARGET-20-PAYKGV-Sorted-CD34neg-Myeloid-Mono	-0.5146076784340907	-0.46553142956705296	-0.5513943662781969	-0.5145550162769712	-0.6604607369441786	-1.2785823104720886	-0.8975521170575272	-0.38052436999300293	1.0655835614350075	-0.664126737511533	1.0320662192269467	0.23776523501970429	0.14658502471875406	-0.3874904933440856	-0.7041716217429396	-0.49199085625595484	-0.08393154141386482	-0.49173694059841605	-1.107074682582157	-0.3802286888183819	-0.499281378342759	-0.5136936778443038	-0.8431212903869264	-0.7854377949894259	-0.9826139842613837	-1.1946932744727403	-0.8118231766630372	-0.6860856679413081	0.302639458027197	0.994890557058968	1.8407277705222864	0.32441942058274703	-0.10693242844763098	5.678149780220091	1.9703832796211778	1.5169723099516887	3.9246692772513856	0.09165219513884285	0.620488482379494	2.126340539019693	1.4547576332883414	5.626375481610186	7.880534439132708	1.799891630068804	4.965576604474625	5.001614101261481	7.241159029215632	4.283320046092787	9.7259456695988	10.461379809673804	12.648768680113172	5.566367498643574	-0.03784393161200264	0.49886357791736435	0.8213133825698493	5.3285011704748495	3.711311723342716	-1.0588306183992535	-0.028011303755654315	-0.7910425016134631	-0.3934757741404997	-0.3591117422125834	-0.38310305966720126	-0.43285588959365834	-0.5269200275281124	-0.404534817452548	-0.28830535067483953	0.21060600820812517	-0.4394483087879332	-0.6417303780575714	0.3584541874617317	0.9191858065838808	-0.5103642966430764	-0.4300826276988764	-0.2146828457525598	0.6534807592053734	2.2726783569336964	0.017921591845654058	-0.21759456519587708	2.456829075516645	-0.3354341350718198	-0.8701954193200997	-0.011757324248899406	-0.45293996455087737	0.6447722497440881	-0.6158940260093274	-0.7016384861607519	-0.8726101858905906	-0.7903616216611381	-0.6567584301232526	-0.5101859381119016	-0.5242939075856374	-0.4908785752969273	-0.5080234282699645	-0.48313948214458435	0.8380040833388849	0.6396403516443661	2.205940233035991	1.8641823803437336	2.2062965739495226
TARGET-20-PANTEL	0.35487165020683775	-0.7964093698130773	-0.44602178106399537	0.21954995493384105	-0.5427266583280467	-1.212892362980915	-0.7140208938017394	0.7943081500068644	2.9136359633928017	-0.7813358896720339	5.472760381146691	1.3176950019397402	3.837351526021232	-0.9031426146333141	-0.7031988901145481	-0.49388487455255003	-0.31119321744840006	-0.4402918787532815	-0.16688218362081997	-0.3752355013315621	-0.29745797332778173	-0.5297596973156774	-0.7432972837390504	-0.812636127337739	-1.0393525183668841	-1.2004574023916188	-0.13743495197534816	-0.7264544848267479	-1.0314985992622574	-0.8107919186179581	0.260021172125923	-0.4090821234756586	0.4779456165163897	14.058959704432102	5.86881593421976	1.1761813269890051	-0.15909247132455684	1.459490161386979	0.32494685252833366	3.49740166862473	2.818232883038393	-0.4124245224706398	3.621209242386576	3.1621114249472493	3.3248490080586004	4.604370812162772	6.105052574462459	7.4483404970957245	3.480508399054247	9.520812512947085	17.351055072374596	10.104471410807227	4.615573138406311	1.0691774276531851	0.6536984801835444	7.727942735281955	6.691600303157882	-0.968210152907921	-0.17150666316852836	-0.7877692122361073	2.8119212555509017	0.06724461538365244	-0.4918375986952648	-0.4364639760752429	-0.5581229717515326	-0.36081709388844596	0.7028480506373938	-0.700650116175962	-0.5577143589723293	-0.6516224442249319	-0.17691673153289497	0.11966630838092064	-0.4703179367717998	-0.06764770892532909	-0.5275406423080645	-0.07556355588703123	6.808945091691369	3.3184438274574672	-0.19614475919699498	0.005380020797870504	-0.30312374158704974	0.6668606746987278	1.5374644098411523	1.3910643372709373	0.07445630977432323	-0.3847037746764846	-0.6481071344696654	-0.8624442758390748	-0.6741545777738369	-0.5877132123424034	-0.38475901076859664	-0.4098111307428023	-0.2182688877539139	-0.3323913461160076	-0.34403443685581925	2.1364883796527994	0.08906230623842833	10.8951594663984	10.38729270275012	4.829142526266529
TARGET-20-PAVTMY	-0.47875147382169725	0.5951050811415599	-0.5542387901654829	0.08450563334431035	-0.6364798643485539	-0.7077947100531238	-0.6217994219016882	-0.6621654823707441	-0.707276239302275	-0.6297372466866638	-0.7818547582381737	-0.6599647243946823	-0.30180118045391663	-0.22734887080183935	-0.8987751669287978	16.06764540397986	21.47404894808384	-0.46612403471201747	-0.10362353631769798	-0.4551145842054361	-0.8881036077238436	-0.21564435390113404	-0.4882776968755695	-0.4283036966530465	0.16437138776690535	-0.8581556812903044	-0.024809585356022956	-0.6336724501949714	0.06726341903050301	-0.9354281379802001	-0.09374882584645397	-0.5274776915869742	3.656426231356256	-0.28380732224102934	-0.4436775547607649	-0.8979088477306921	0.5187903282851276	-0.439809499883002	-0.3168398306492782	-0.08118984252744631	1.2728259659308228	-0.21544419891610603	-0.29175158317782174	0.7779555560609785	-0.6818378015899496	-0.6912518789743874	1.3137839338380854	-0.7079393734173669	4.9646261129140425	-0.48324815668183224	-0.28466945481808725	-0.24270117405026273	1.764619386151784	1.033087400494362	0.8841433051466675	5.1379185846418745	3.0265120375786982	0.27814467210084437	-0.40503832652673516	-0.7770598632949755	2.4801955492407	-0.6780811261867362	0.3418853252898682	-0.24137487058603857	3.439732315344946	0.15196789295977825	-0.48120653853328543	1.6107494224766175	0.8419964870505435	-0.2707026719437763	0.3639101096523529	0.14112937383749508	0.07395386291654625	-0.28834565767349857	-0.004538781329114853	-0.41181383106267494	-0.6267169951348405	0.6778259169568374	0.35582767079316546	1.341770787405821	-0.3321283896112393	3.963142801139495	-0.2542482245380359	-0.7316724832450409	-0.25798224526679003	-0.9053254551566474	1.1346345052714413	-0.7806749993377525	-0.7732132668161775	-0.6374645099091134	-0.4713235545173928	-0.49228868007768456	-0.36442191238160454	-0.26207135436225104	-0.4627314813926423	0.7633082573249879	-0.19724904023457937	3.290494839049866	0.6187889556180892	1.920694564509632
TARGET-20-PARFRJ	-1.2042870716361347	-0.5694938584944672	-0.36278013135147713	-0.22829495005342823	-0.6084354806070723	-0.8531419663779102	-0.8002170821045833	-0.8748765690610942	-0.6837768356349665	-0.6871697312453092	-1.1707370976287046	-0.6144712896716572	-0.18764545292147566	-0.9170436739355354	-0.9169137508229223	-0.4418932674873723	0.251950701251988	-0.13022168029755024	1.5160511556721785	4.045987721484901	-0.8647786941341076	-0.5096419404776196	-0.40799994823219066	-0.7324024649671681	-0.9554609884600705	-1.261307669558471	0.48813549300185116	-0.7195289543317321	-0.13868794874000293	-0.2909182465774952	3.2693068807554773	-0.815181335570495	2.7311049562845637	-0.5419379629830582	0.4193969494913724	-1.257637078307046	-0.4690379508831181	-0.4176694399602219	-0.5479872398124	-0.0779247464160631	0.527114302660851	-0.3899731400668082	-0.27427753938283134	1.2221216456371133	0.1827032243374827	0.3889725366434098	-0.20185391743547912	-0.8923143384483521	0.03806134764030945	-0.35686067146286965	-0.3770533325583564	1.3418247516256534	1.6486351108862811	1.6804238822838908	1.8981702215691654	0.5939085662538407	0.5678355620599015	-0.4246105692943805	-0.7580253251285888	-0.7218231050520947	-0.11117457195215592	-0.5869639519214318	-0.44860535325951273	-0.36386048434719187	-0.47908749382371346	-0.26475454620920197	-0.5576339831543549	-0.44633982654272875	-0.4526794342694377	0.05808628775957826	1.3678184560864828	-0.1700517305960903	-0.4599464723266459	-0.15837958759008838	-0.4545985710542941	0.6281373355608548	0.28804498204489853	-0.1010274234844422	1.5113429296036063	1.2106077884378799	2.570322350287799	5.02720580335897	5.521145025309891	5.216528648216307	3.6301962608919935	4.905799876565753	8.800475974947826	2.361789248611857	2.9381749730812188	7.874697045490259	3.7452210704364384	3.739713743976168	4.960605590479815	6.290100694669932	8.885772171430272	0.6996889461351519	2.4793539116797683	2.5356684742765885	6.699848652475407	10.312602911788233
TARGET-20-PAVKAU	-1.5415544913295545	-0.8549469467034618	-0.5529669631705635	-0.5446220910338196	-0.6788542817142503	-1.3167519024565033	-1.0061866450722696	-1.0158250190579334	-0.7385172689440941	-0.7639580049593485	-1.101545853384989	-0.7355329480624583	0.019467373412440717	-0.6247222277793145	0.5056585727767284	-0.5931321486929301	-0.5082344889613425	0.6373615793625018	5.156516040472677	1.490154992402008	-0.9251820600119002	-0.5306008732254999	0.08078462738791439	-0.8242464686360609	-1.0710795257120633	-0.997876089005714	-0.7705142186642535	-0.7297265470606248	0.12006903118672281	-0.03743027654182429	1.235330190658773	-0.8985285661620585	0.02900347421635239	-0.5947116893711247	0.10146000636506412	-1.3378896001537672	-0.6167685881910199	-0.4199085101712804	-0.4932065934730189	-0.6586171427102233	-0.677055670877694	-0.4402668098757352	-0.5939684732665071	-0.765452852110183	-0.7309501699552887	-0.5029499867685627	-0.6991716132564464	-1.034323991917612	-0.8022368253133825	-0.46215888310634906	-0.3823483413323891	-0.22240878324547375	-0.545240952914629	-0.38078086199560784	-0.7297948867809183	0.5423032103965253	0.7184702017192648	1.4478632910788707	-0.8757635157887194	-0.7829838054833423	0.20776945976009203	-0.6961643408757044	-0.4158359148426945	-0.40334705202412396	-0.48681927078772724	-0.29691010280853275	-0.11369988363959767	-0.4666110391647599	-0.5246178308053692	3.9776576537959234	-0.01567774483218807	-0.03421032693722974	0.2278857459102629	-0.0036123855328817995	0.0056004069114730754	-0.1991458041958451	-0.3035890474644069	-0.3377534248361339	0.5494655769534209	2.978177601560093	6.866415611477902	3.151408263205351	6.224324673238807	1.4846057220651439	5.915785523377199	1.7178367751644272	6.965861128901748	8.6203840827758	7.019510033404267	3.07186174145806	8.290181150923317	12.284611189240534	12.923607027300068	8.088198978789372	7.622601668795601	1.2435497175441101	-0.11760111639722497	0.4231175072625371	0.5391762415231871	0.04352557274256705
TARGET-20-PATEYS	-1.4676511187355628	-0.05502678351902754	-0.5555249395364712	0.3596075698926682	-0.6962011645225102	3.615983358825261	-0.9557728802374656	-0.6597402368270426	-0.6414449659445581	-0.4900874256021002	0.2891869883160546	-0.5913624793613259	-1.0467180292168616	-0.9472853530429206	1.241291635040118	-0.5941158220292165	-0.5251088712876142	-0.24643546222986604	-0.6707851539451372	4.0296853814324685	5.096232786640987	0.022456873264530736	-0.010590213837041838	-0.8291174942677842	2.145895561454314	0.9134444598723117	-0.8198191323134082	-0.650092983368661	-1.139586567950965	-0.40012741518390416	-0.6733575220858459	-0.894148995601982	-0.45353670142846886	0.7195120240549863	-0.8893899416406974	-1.288098068012109	3.8588782494819536	-0.4477632119760158	-0.5128289162256943	-0.5604993555247217	0.024697769519300892	-0.4422653474497917	-0.6039725134597903	-0.6779787169979686	-0.3015530940780459	-0.7827244292771269	-0.7619019480430805	-1.0202524042572987	-0.8046184636533645	-0.4441604551009162	-0.2400861042903583	-0.4198828478412858	-0.17531335172229198	-0.822719635398728	-0.8954654090122169	-0.15699018976091011	-0.6046466743021218	-0.32302447303659165	-0.5629949397212699	-0.17779885261230807	-0.7029044746655311	-0.6600794133104506	-0.49981274530410247	-0.4121605322716619	-0.10305147634417637	-0.3884444103366717	-0.658380616620061	-0.6420306388939571	-0.5694296129347365	-0.2820804286571852	-0.2705321444456289	-0.14074356974919683	-0.20335007040541675	0.03143045741662235	-0.16544394345234162	-0.41396179748507883	-0.5894073420462289	0.2334514032881654	-0.5343537778039744	-0.8322376243472109	24.14333707811588	3.057457102888124	-0.39426583707296214	-0.5085729701484026	-0.9309609901573166	0.30152606291971845	4.9850513483611865	-0.6252319536530196	3.5397509682203006	-0.37126193437863	4.200666322678136	4.8349997496216215	-0.4212263485755433	0.01648751960780023	2.0956593929949663	-0.6160726534920385	-0.7240636749468595	-0.7481195916965885	0.09444350807598112	-0.8649425998007959
TARGET-20-PAYLEK-Sorted-CD34neg-Lymphoid	0.7887528668914149	-0.621214136875001	-0.40320933451880275	-0.4891866355079452	-0.5873021442310821	-0.18712960098738848	-0.7282746117851601	-0.3007186338205757	-0.658383204335597	-0.22974473589004302	-0.5740364019396444	-0.6699385650907184	-1.1457345262657372	1.9756008767425295	1.6049406787050766	-0.5810848330688834	-0.4519791971234971	-0.4406854045241436	-0.9999413699675517	-0.1554875842505183	-0.7229846403475249	-0.40752054258775877	4.1294581348911565	-0.64959502922787	0.005330927290530598	-0.5955453160198342	-0.15249434973636025	-0.28862043953170763	-0.6155548597389136	-0.7168483548873793	0.40940137521712283	-0.8725690148583792	1.3285554753345497	-0.6367332625275077	-0.07888267719951092	-1.3085086428639896	6.650285780401789	-0.3855371114836134	-0.24215235739795385	-0.42553105599795393	-0.5973550705445205	0.14833681534181287	-0.5460079276340024	-0.19278783835564958	0.4033652647216014	2.3384652637900376	-0.6544044533324122	-1.0081191295746013	1.6434510408118432	-0.3206862834130629	-0.30477248028130505	0.16460421577023332	0.19080745874962227	0.8580515984992284	-0.6335278475544841	-0.19669687196264343	0.9938954227409569	1.327610980651215	5.111009353418209	-0.4229753428227374	-0.21488668183301965	0.024489505375891757	0.5166068858577987	-0.43192448970577035	-0.5423961194728385	-0.3611402620571247	-0.23911119164693026	-0.14432423904898908	-0.5081116742640863	-0.4107713198800906	5.686084442604026	-0.04902021798782575	3.4360900167882757	-0.09247668327526189	11.31406987744325	8.334537731875693	0.7300401168241986	-0.2598892192115129	0.22606552760749926	15.145924254112993	0.04968832384048179	2.721057897248714	-0.0023038805309779976	0.3803444725713888	3.084721966546431	5.442112158164132	1.595459852353163	3.484889679783718	-0.3599631919139177	0.39277220863226603	0.15320042071785103	1.6509028668551726	-0.04964566881462458	0.282205150229438	0.6025550439032531	2.6802825839582676	2.0940873849860675	2.054453424133739	0.5294516087082912	-0.004320675463025534
TARGET-20-PAWWRG	5.6959790888817	-0.24323036687718927	0.30748988182233566	-0.2322959438000783	-0.4091541214956772	-0.4594102737293233	0.02872048857614382	-0.7768435968492855	-0.5377016873712419	-0.13828089958257436	-1.207691210014346	-0.3919048237976877	-0.8368719880771609	-0.5544540141654694	-0.4648414948202551	1.6819307939311021	-0.3748536551110782	-0.24073496034909161	-0.41393284673706676	-0.16212530604087302	-0.4303266775264554	-0.3920887080955183	0.5400861000747975	-0.37132262316054976	-0.5613267301097687	-0.7206021215072336	-0.3025942343515495	-0.12204637562550244	-0.7359459672383454	0.1418464039858452	-0.5586971609009135	-0.5199252869786702	-0.0330349996352002	-0.5381082486740988	-0.5814145469568985	-0.1820389093155353	0.4220088791139548	0.0920198036809569	-0.5082831978550075	-0.452801754361243	-0.5414138637998313	-0.4203800744017014	-0.5453594064209925	-0.6047514028529777	0.3063207785793013	-0.46286227249092676	-0.0482357902657866	-0.6782530751436869	-0.33634787380710934	-0.43721499303069583	-0.3535894136908228	-0.3277147791603671	-0.764883227951011	0.6798266347177908	0.28807412482787254	0.24838194856593	-0.32351466785838323	1.710884417805753	0.023006510014839818	-0.22705829981827808	4.4763281170757745	1.6766590581144822	15.280962877881842	5.808898697407855	6.645928869426599	1.6590247611442595	6.6896645459544954	0.10874033360747132	-0.11434065409953524	0.8213362980301633	-0.18358577211253685	0.004203964725938181	-0.3257309910255937	-0.36979103303615235	-0.491324964014646	-0.16210144634640003	-0.21564367386751443	-0.30157997604247166	0.28748601761060744	3.0605407277719054	-0.08233605277445435	-0.20618476890732584	-0.14137699958913616	-0.2578744923571744	0.5114520504396199	-0.0222885657345205	0.025110590005108135	-0.09197530351367046	0.1761058216451899	0.07759569955955226	-0.07620185892955728	-0.23237453366954244	-0.19633625789953046	-0.07356329150185965	0.05990227510025145	0.6446693511263283	2.4590142991530652	0.04467234689637338	-0.32810197799203467	0.08069494388952121
TARGET-20-PARLVL	2.8185074576672458	-0.4236937619997512	-0.5428983327941181	-0.5231836654414335	-0.652641556405939	-0.43736275241356565	-0.3818667039205203	-0.7902392890320742	-0.6552261582821618	-0.7249208456703373	-0.8755881277746992	-0.6443123466600275	-0.7097821321756519	-0.657430080776947	-0.6411157244201474	-0.11256837698353625	-0.4484376056420553	-0.32589393716365817	-0.7427847194726117	-0.33488482631874145	-0.23549904652181078	0.04087906609587833	-0.6925026380288932	-0.2519647694714202	-0.2575603861931635	-0.12421237525244339	-0.6129124713936248	-0.3467346736855356	-0.6494400409326961	-0.029591182146127666	-0.74339047343884	0.1855505374069876	-0.6290632691156917	-0.6656601080639093	-0.7372785837218497	-0.7246125522056553	-0.7970577374642662	-0.39384172263955436	-0.4208818061200235	-0.5898280538612461	-0.6360761547602725	-0.3012011888964338	-0.5425251285270971	-0.9347915417058409	-0.2948401076091271	-0.4978146169092862	-0.6346071522411186	-0.880632709508012	-0.7970969275796553	-0.41078698619785325	-0.3489593111853409	-0.4479176726346562	0.6219614504433391	0.3141682665004215	-0.6046141368974755	-0.6318429244259934	-0.9585216577549356	-0.7267198573769738	-0.684850139684048	1.3748610580738085	8.421640517314916	2.2536409532748842	4.5556528108208445	7.054959415644575	3.2564265112143262	14.611049941504845	10.064458960855372	-0.6921141237101206	-0.5118171379774356	-0.43063067705258634	-0.31887646752808874	0.10917910126641231	-0.466176430491653	-0.454309778380015	-0.4868336791495559	-0.36444246347668774	0.2860769270317308	-0.2221729971444159	-0.43303026879979123	-0.6781028044192929	-0.3242282182562926	-0.7191005653289498	-0.40548346980754935	-0.46036463462807176	-0.8420892767574641	-0.21613008179526655	-0.6246898425328571	-0.8735639669251721	-0.40115117220871843	-0.5816599678894865	-0.4218937507357873	-0.326853292869065	-0.3098107391731041	-0.42701590936509354	-0.37530632909041534	-0.7316670566933601	-0.2082590086784343	-0.8165215060204866	-0.5973286680549706	-0.4943605860378607
TARGET-20-PAWEYY	3.4952012287950853	0.92451628593059	-0.31678811731898593	1.4577826753143484	1.7757219396107038	0.8770226863389391	1.5615438731740943	0.5815686424702989	-0.6408135567338711	-0.40710497377735666	-0.5789660986127614	-0.3960813456412064	-0.7727757845977821	-0.21797208734143855	2.9319564246921477	-0.5662045382363317	-0.41532835626324655	-0.08179552329460095	-0.9384595503833585	0.008417668001796096	-0.5926320346993474	-0.5124693485095884	-0.680900161500368	-0.8058400893930419	-0.3907472859659142	-0.6601669251080589	-0.3424069952530052	-0.7277592949200117	-1.0501986118256583	0.09543968270056592	-0.6741515878707686	-0.7909583075399642	-0.5869394190386787	-0.3970010431048098	-0.5635194429189812	-0.7757225390127654	-0.5165208335634605	-0.3590024585346513	-0.5193107229602485	-0.8010083139353273	-0.6466299483991288	-0.4313848971807333	-0.48630194225476175	-0.7054883695267691	0.03759216149043174	-0.9033519953922111	-0.31109906093204087	-0.716812330397424	-0.79063341365698	-0.38563746548716776	-0.3154940938616879	-0.40629035524231466	-0.5302112917179761	0.49931766386707	-0.7770573240846925	-0.7794184855314773	-0.8742029100840871	-0.6336660075301634	-0.719689555089365	11.563027613942587	7.027776021699737	14.324006620631982	10.315610990950562	10.382833805724543	10.18518947842347	9.378216400045666	10.743383418792302	-0.4483216490057764	-0.47280683943967555	0.31667166760978266	-0.010352466160384525	-0.24621948285786283	-0.16934488208808637	-0.4211709256139915	-0.09080449698199866	0.6152559873760487	-0.2746519673979157	-0.3608990104319023	-0.4116094620879739	-0.546279111485689	-0.1734837350500841	-0.8893692441197614	-0.3544581315280995	-0.5671947601336902	1.5554957729140264	-0.27482095150856156	0.07781821785922162	0.18412104304563082	-0.15148230069950455	-0.4321512017387071	-0.30000849282848474	-0.22855623978564485	-0.3187235578737335	-0.2712999124764852	-0.31674967615002325	0.39140915397606935	0.45663875146485794	-0.834400996921504	-0.649830081746772	-0.5929277241160131
